File Path: C:\Users\apk5101\Desktop\Sandra\Uncoated_2 01-8-24 11 12 58 AM\DAQ- Crosshead, … - (Timed).txt   
Test: MTS EM Tension (Simplified) with Video Extensometer apk5101 25
Test Run: Uncoated_2
Date: 1/8/2024 10:17:22 AM


Crosshead 	Load 	Time 	Strain 1 	Video Time 
mm	N	sec	mm/mm	sec
-5.95586016061134E-05	2.66770958900452	0.112999998033047	-2.40163008129457E-05	4.99989986419678
0.000119117203212227	2.70573997497559	0.212999999523163	2.6699599402491E-06	5.09989976882935
0.000297793008030567	2.68688344955444	0.312999993562698	7.5436200859258E-06	5.19990015029907
0.000952937625697814	2.78784441947937	0.412999987602234	4.9324498831993E-06	5.29990005493164
0.00226322686103231	2.81629848480225	0.513000011444092	-8.69681025505997E-06	5.39989995956421
0.00333528168994235	2.82994985580444	0.612999975681305	-8.69681025505997E-06	5.49989986419678
0.00434777803093311	2.86050724983215	0.712999999523163	2.11755996133434E-05	5.59989976882935
0.00547939134776243	2.91994524002075	0.813000023365021	3.74562987417448E-05	5.69990015029907
0.00643232897346024	2.96598267555237	0.912999987602234	3.20701001328416E-05	5.79990005493164
0.00774261843616841	3.03305172920227	1.01300001144409	5.68512004974764E-05	5.89979982376099
0.00863599689182593	3.10432386398315	1.11300003528595	6.07180008955766E-05	5.99980020523071
0.00935070056584664	3.15736889839172	1.21300005912781	8.13890001154505E-05	6.09980010986328
0.0103631964520901	3.21168446540833	1.31299996376038	7.69734979257919E-05	6.19980001449585
0.0113161340777879	3.23974299430847	1.41299998760223	9.20974998734891E-05	6.29979991912842
0.0121499542728998	3.28097796440125	1.51300001144409	0.000108776002889499	6.39979982376099
0.0129242162074661	3.30280709266663	1.61300003528595	0.0001148209994426	6.49989986419678
0.0139367130032042	3.32634139060974	1.71300005912781	0.000126604005345143	6.59999990463257
0.014889650628902	3.37147116661072	1.81299996376038	0.000126604005345143	6.69990015029907
0.0157830290845595	3.42637658119202	1.91299998760223	0.000144667006679811	6.79990005493164
0.0167955258802976	3.48459696769714	2.01300001144409	0.000159593997523189	6.89989995956421
0.0176293451659149	3.5596227645874	2.11299991607666	0.000213792998692952	6.99989986419678
0.0183440497494303	3.61462640762329	2.21300005912781	0.00039205900975503	7.09980010986328
0.0191183116839966	3.6548478603363	2.31299996376038	0.000166323996381834	7.19990015029907
0.0200712493096944	3.69802355766296	2.41300010681152	0.000344483996741474	7.29979991912842
0.0207859520742204	3.70407629013062	2.51300001144409	0.000344483996741474	7.40000009536743
0.0216197713598376	3.72743082046509	2.61299991607666	0.000189458995009772	7.49980020523071
0.0224535924644442	3.76825428009033	2.71300005912781	0.000250521989073604	7.59980010986328
0.0233469709201017	3.82341384887695	2.81299996376038	0.000275172002147883	7.69980001449585
0.0241807920247084	3.88577628135681	2.91300010681152	0.000389016000553966	7.79979991912842
0.0252528461714974	3.96253871917725	3.01300001144409	0.00030452900682576	7.89989995956421
0.0259079915849725	4.02227830886841	3.11299991607666	0.000301508989650756	7.99989986419678
0.0266822535195388	4.07694292068481	3.21300005912781	0.000320074002956972	8.09980010986328
0.027516072805156	4.09531259536743	3.31299996376038	0.000341339007718489	8.19979953765869
0.0283498939097626	4.13158988952637	3.41300010681152	0.000459845003206283	8.29979991912842
0.0290645966742886	4.15823030471802	3.51300001144409	0.000490521022584289	8.39980030059814
0.0300770934700267	4.19634437561035	3.61299991607666	0.000354997988324612	8.49979972839355
0.0309704737446737	4.26243829727173	3.71300005912781	0.000354997988324612	8.59980010986328
0.0319829705404118	4.32936716079712	3.81299996376038	0.00039036400266923	8.69979953765869
0.0326976733049378	4.40757274627686	3.91300010681152	0.000384390994440764	8.79979991912842
0.0332932577293832	4.4361834526062	4.01300001144409	0.000427085004048422	8.89980030059814
0.0343653118761722	4.50788021087646	4.11299991607666	0.000411654007621109	8.99979972839355
0.0350204572896473	4.54681015014648	4.21299982070923	0.000433893990702927	9.09980010986328
0.0356160417140927	4.56900548934937	4.31300020217896	0.000439513009041548	9.19979953765869
0.0365689811587799	4.59292364120483	4.41300010681152	0.000443928001914173	9.2996997833252
0.0374028022633865	4.62400054931641	4.51300001144409	0.000459795992355794	9.39980030059814
0.038355738070095	4.68173694610596	4.61299991607666	0.000462383992271498	9.49979972839355
0.0391895591747016	4.74829339981079	4.71299982070923	0.000470308004878461	9.59980010986328
0.0402020559704397	4.8407564163208	4.81300020217896	0.000503571005538106	9.69979953765869
0.0410954344260972	4.92299699783325	4.91300010681152	0.000503571005538106	9.79979991912842
0.0418696981796529	4.96707439422607	5.01300001144409	0.000512059021275491	9.89980030059814
0.0426439582952298	5.01641798019409	5.11299991607666	0.000528934993781149	9.99979972839355
0.0434777793998364	5.04156923294067	5.21299982070923	0.000529891985934228	10.0998001098633
0.0441924821643624	5.05822515487671	5.31300020217896	0.000541976012755185	10.1997003555298
0.0449071849288885	5.09329271316528	5.41300010681152	0.000505356001667678	10.2997999191284
0.045800563384546	5.14045333862305	5.51300001144409	0.000536406994797289	10.3997001647949
0.0466939418402035	5.2130331993103	5.61299991607666	0.000536406994797289	10.4997997283936
0.0475873239338398	5.30059623718262	5.71299982070923	0.000529508979525417	10.5998001098633
0.0485402597405482	5.3861722946167	5.81300020217896	0.000525155977811664	10.6997003555298
0.0492549625050742	5.45661687850952	5.91300010681152	0.000542735971976072	10.7996997833252
0.0502079019497614	5.50034761428833	6.01300001144409	0.000557560997549444	10.8997001647949
0.0511012804054189	5.54134607315063	6.11299991607666	0.000557560997549444	10.9997997283936
