mm,N,sec,mm/mm,sec.1,Stress,Sample Type,Sample Number,Cross Section,Sample ID
9.62175149470568,3.546306848526,11.5710000991821,0.158921003341675,18.3995990753174,0.22820507390772202,oven,1,15.54,oven_1
10.0378878414631,3.20783853530884,12.0710000991821,0.165647000074387,18.8995990753174,0.20642461617174004,oven,1,15.54,oven_1
10.2883316576481,3.14297127723694,12.371000289917,0.170812994241714,19.199499130249,0.20225040394060104,oven,1,15.54,oven_1
10.371713899076,3.24165773391724,12.4709997177124,0.172142997384071,19.2996006011963,0.20860088377845817,oven,1,15.54,oven_1
11.038233526051,3.29623866081238,13.2709999084473,0.182602003216743,20.0995998382568,0.2121131699364466,oven,1,15.54,oven_1
11.204699985683,3.14060473442078,13.4709997177124,0.185342997312546,20.2996006011963,0.20209811675809397,oven,1,15.54,oven_1
11.5378117188811,3.20760369300842,13.871000289917,0.190312996506691,20.6996002197266,0.2064095040545959,oven,1,15.54,oven_1
11.7880767211318,3.1651463508606,14.1709995269775,0.194335997104645,20.9995002746582,0.203677371355251,oven,1,15.54,oven_1
11.9547210633755,3.41212058067322,14.371000289917,0.196983993053436,21.199499130249,0.21957017893650066,oven,1,15.54,oven_1
12.0382225140929,3.2523250579834,14.4709997177124,0.19828300178051,21.2996006011963,0.20928732676855857,oven,1,15.54,oven_1
12.1212471276522,3.25156378746033,14.5710000991821,0.199632003903389,21.3995990753174,0.2092383389614112,oven,1,15.54,oven_1
12.2051062062383,4.085045337677,14.6709995269775,0.200907006859779,21.4995994567871,0.26287293035244536,oven,1,15.54,oven_1
12.2881308197975,3.57437086105347,14.7709999084473,0.201709002256393,21.5995998382568,0.23001099491978572,oven,1,15.54,oven_1
12.3712746426463,3.47573399543762,14.871000289917,0.203281998634338,21.699499130249,0.2236637062701171,oven,1,15.54,oven_1
12.4548943713307,4.52062749862671,14.9709997177124,0.2048259973526,21.7994995117188,0.29090267043929924,oven,1,15.54,oven_1
12.5380381941795,3.93486166000366,15.0710000991821,0.206089004874229,21.8994998931885,0.25320860102983656,oven,1,15.54,oven_1
12.6213608309627,3.35637855529785,15.1709995269775,0.207362994551659,21.9995994567871,0.21598317601659267,oven,1,15.54,oven_1
12.7046834677458,3.82020211219788,15.2709999084473,0.208799004554749,22.0995006561279,0.24583025175018533,oven,1,15.54,oven_1
12.7880061045289,3.42625832557678,15.371000289917,0.209910005331039,22.199499130249,0.22047994373080954,oven,1,15.54,oven_1
12.871328741312,4.62102127075195,15.4709997177124,0.211306005716324,22.2996006011963,0.2973630161359041,oven,1,15.54,oven_1
12.9545321688056,4.00835418701172,15.5710000991821,0.212852001190186,22.3995990753174,0.25793784987205404,oven,1,15.54,oven_1
13.0380922928452,3.78540015220642,15.6709995269775,0.21408399939537,22.4995002746582,0.24359074338522652,oven,1,15.54,oven_1
13.1209976971149,3.79009461402893,15.7709999084473,0.215330004692078,22.5995006561279,0.24389283230559397,oven,1,15.54,oven_1
13.2045587524772,3.90147662162781,15.871000289917,0.2168879956007,22.699499130249,0.2510602716620212,oven,1,15.54,oven_1
13.2882976904511,3.54948544502258,15.9709997177124,0.218189999461174,22.7994995117188,0.22840961679681981,oven,1,15.54,oven_1
13.3714415132999,3.51841354370117,16.0709991455078,0.21942900121212,22.8994998931885,0.22641013794730824,oven,1,15.54,oven_1
13.454525731504,4.4079442024231,16.1709995269775,0.220918998122215,23.0002994537354,0.2836514930774196,oven,1,15.54,oven_1
13.5383848100901,3.86642980575562,16.2709999084473,0.222184002399445,23.0995006561279,0.24880500680538098,oven,1,15.54,oven_1
13.6214094236493,4.11342906951904,16.371000289917,0.223424002528191,23.199499130249,0.2646994253229756,oven,1,15.54,oven_1
13.7050300836563,3.61674404144287,16.4710006713867,0.224806994199753,23.2994995117188,0.23273771180456052,oven,1,15.54,oven_1
13.7881143018603,3.95582938194275,16.5709991455078,0.225646004080772,23.3994998931885,0.25455787528589124,oven,1,15.54,oven_1
13.8716148212552,4.30685997009277,16.6709995269775,0.226410001516342,23.4993991851807,0.277146716222186,oven,1,15.54,oven_1
13.9545798301697,3.79971218109131,16.7709999084473,0.228036001324654,23.5995006561279,0.24451172336494917,oven,1,15.54,oven_1
14.0380216762424,4.01928806304932,16.871000289917,0.229412004351616,23.699499130249,0.25864144549866924,oven,1,15.54,oven_1
14.1215827316046,4.35856771469116,16.9710006713867,0.230361998081207,23.7994003295898,0.2804741129144891,oven,1,15.54,oven_1
14.2047265544534,4.23320531845093,17.0709991455078,0.232347995042801,23.8999004364014,0.272407034649352,oven,1,15.54,oven_1
14.2880491912365,4.61656045913696,17.1709995269775,0.23369100689888,23.9995002746582,0.29707596262142605,oven,1,15.54,oven_1
14.3716689199209,4.45741844177246,17.2709999084473,0.23505699634552,24.0995006561279,0.28683516356322136,oven,1,15.54,oven_1
14.4547531381249,4.32756805419922,17.371000289917,0.236379995942116,24.199499130249,0.27847928276700257,oven,1,15.54,oven_1
14.5379565656185,4.04297876358032,17.4710006713867,0.237615004181862,24.2994995117188,0.2601659436023372,oven,1,15.54,oven_1
14.6211599931121,4.03834676742554,17.5709991455078,0.238893002271652,24.3994998931885,0.25986787435170783,oven,1,15.54,oven_1
14.7046614438295,3.92553234100342,17.6709995269775,0.240340992808342,24.4993991851807,0.25260825875182885,oven,1,15.54,oven_1
14.7877456620336,3.67024445533752,17.7709999084473,0.241318002343178,24.5995006561279,0.23618046688143632,oven,1,15.54,oven_1
14.8713057860732,4.38089799880981,17.871000289917,0.242945000529289,24.699499130249,0.2819110681344794,oven,1,15.54,oven_1
