Crosshead,Load,Time,Strain,Video Time,Group
0.0864790854393505,0.383980156286777,0.112999998033047,-0.0014500007663062896,3.99990010261536,laser
0.170337603776716,0.40752402981376523,0.212999999523163,0.0007981864699953991,4.09999990463257,laser
0.254613027209416,0.4298502470758098,0.312999993562698,0.0030043319804933855,4.09999990463257,laser
0.338292855303735,0.45104065364328716,0.412999987602234,0.005169663869201854,4.29990005493164,laser
0.421972683398053,0.4711770950865738,0.513000011444092,0.007295410240134987,4.39989995956421,laser
0.505592965055257,0.49034141697604616,0.612999975681305,0.009382799197306965,4.49989986419678,laser
0.589332368690521,0.5086154648820808,0.712999999523163,0.011433058844731975,4.59989976882935,laser
0.672773981932551,0.526081084375054,0.813000023365021,0.013447417286424198,4.59989976882935,laser
0.756275141611695,0.5428201210253425,0.912999987602234,0.01542710262639782,4.79990005493164,laser
0.840074091684073,0.5589144204033225,1.01300001144409,0.017373342968667018,4.89989995956421,laser
0.923337007407099,0.5744458280793707,1.11300003528595,0.019287366417245985,5.0,laser
1.00677856244147,0.5894961896238635,1.21300005912781,0.02117040107614889,5.09989976882935,laser
1.09027978032827,0.6041473506071773,1.31299996376038,0.02302367504938993,5.19990015029907,laser
1.17342360317707,0.6184811565996887,1.41299998760223,0.024848416440983283,5.29990005493164,laser
1.25704379752278,0.6325794531717741,1.51300001144409,0.026645853354943135,5.29990005493164,laser
1.34030671324581,0.6465240858938099,1.61300003528595,0.028417213895283656,5.49989986419678,laser
1.42386741936207,0.6603969003361729,1.71300005912781,0.030163726166019048,5.49989986419678,laser
1.50724954437464,0.6742797420692392,1.81299996376038,0.03188661827116347,5.69990015029907,laser
1.59033376257867,0.6882544566633854,1.91299998760223,0.033587118314731136,5.79990005493164,laser
1.67389446869493,0.702402889688988,2.01300001144409,0.03526645440073621,5.89989995956421,laser
1.7570978961885,0.7168068867164235,2.11299991607666,0.03692585463319288,5.99989986419678,laser
1.83994381222874,0.7315482933160683,2.21300005912781,0.038566547116115325,6.09999990463257,laser
1.92415970377624,0.746708955058299,2.31299996376038,0.040189759953517736,6.19980001449585,laser
2.00724392198026,0.762370717513492,2.41300010681152,0.04179672124941428,6.29979991912842,laser
2.09086434915662,0.7786154262520237,2.51300001144409,0.04338865910781916,6.39989995956421,laser
2.17388896271586,0.7955249268441786,2.61299991607666,0.04496680163274134,6.49989986419678,laser
2.25750915706158,0.8196615204618971,2.71300005912781,0.04659441354996648,6.49989986419678,laser
2.34047439880669,0.8400009232934899,2.81299996376038,0.048147570921351905,6.69990015029907,laser
2.42391601204872,0.8660379537003827,2.91300010681152,0.049684612088001054,6.69990015029907,laser
2.50741699710488,0.9004289731693853,3.01300001144409,0.05121463606611769,6.89989995956421,laser
2.59056081995368,0.9293080611751303,3.11299991607666,0.05273948640880157,6.99989986419678,laser
2.67382385209203,0.9588430391398829,3.21300005912781,0.054269162227196875,7.09989976882935,laser
2.75744404643774,0.9879813217270514,3.31299996376038,0.05579826507617407,7.19990015029907,laser
2.84076668322086,0.9984883336036602,3.41300010681152,0.05733142364527758,7.29990005493164,laser
2.92396987788379,1.0126247320085646,3.51300001144409,0.058859030126572745,7.39989995956421,laser
3.00711370073259,1.045743634091552,3.61299991607666,0.060385158780126846,7.49989986419678,laser
3.09085310436785,1.0981591504767358,3.71300005912781,0.06191294617156518,7.59989976882935,laser
3.17393732257187,1.1410347064538227,3.81299996376038,0.06343705704460997,7.69990015029907,laser
3.257259959355,1.178228073967668,3.91300010681152,0.0649635784288081,7.69990015029907,laser
3.34070157259703,1.1777213468065235,4.01300001144409,0.06648640972648588,7.89989995956421,laser
3.42360697686672,1.2099727802902829,4.11299991607666,0.06800834072877077,7.99980020523071,laser
3.50722740404308,1.2412907920389726,4.21299982070923,0.06952320851639444,8.09980010986328,laser
3.59078799374402,1.2703595605815066,4.31300020217896,0.07104000415064964,8.19979953765869,laser
3.67363402619958,1.2943766966307733,4.41300010681152,0.07255474924687647,8.30020046234131,laser
3.75725445337594,1.3090213882625665,4.51300001144409,0.0741185425235132,8.39990043640137,laser
3.84051725268364,1.3496628550901693,4.61299991607666,0.07564037734712918,8.49979972839355,laser
3.92372068017721,1.3816999413118536,4.71299982070923,0.07715827762678389,8.59980010986328,laser
4.00698371231556,1.416273086147102,4.81300020217896,0.0786763025268454,8.69989967346191,laser
4.09036548808217,1.4374379043152261,4.91300010681152,0.08019405044027896,8.79979991912842,laser
4.17368812486529,1.4541226726656244,5.01300001144409,0.08171094880036978,8.89980030059814,laser
4.25748713314533,1.4895751198838085,5.11299991607666,0.08322843508938858,8.89980030059814,laser
4.34086890891194,1.5114700135055557,5.21299982070923,0.08473801333361321,9.0999002456665,laser
4.42377477884293,1.5419575265415828,5.31300020217896,0.08624971613176216,9.19979953765869,laser
4.50739497318864,1.5611530277364798,5.41300010681152,0.0877593486035194,9.30109977722168,laser
4.59053879603744,1.5929778616480086,5.51300001144409,0.08927366594134062,9.39980030059814,laser
4.67362301424146,1.6359773950087868,5.61299991607666,0.09077425726677944,9.49979972839355,laser
4.75724320858717,1.6404058872273064,5.71299982070923,0.09227458524544002,9.59980010986328,laser
4.84056584537029,1.652003255031251,5.81300020217896,0.09377247402494654,9.59980010986328,laser
4.92382887750864,1.6690279151341623,5.91300010681152,0.09527386539134694,9.79979991912842,laser
5.0073298625648,1.6809162194304201,6.01300001144409,0.09677578188259614,9.79979991912842,laser
5.09041408076882,1.699330130860751,6.11299991607666,0.0982722448905872,9.99979972839355,laser
